purchase_month,orders,revenue,avg_review,delay_rate,avg_delivery_days
2016-09,1,143.46,1.0,1.0,54.8132
2016-10,265,46490.66,4.0115,0.0113,19.6006
2016-12,1,19.62,5.0,0.0,4.693
2017-01,750,127482.37,4.1991,0.0307,12.647
2017-02,1653,271239.32,4.2027,0.0321,13.1688
2017-03,2546,414330.95,4.1874,0.0558,12.9512
2017-04,2303,390812.4,4.1376,0.0786,14.9179
2017-05,3546,566851.4,4.2385,0.0361,11.3224
2017-06,3135,490050.37,4.2229,0.0386,12.0116
2017-07,3872,566299.08,4.2584,0.0343,11.5927
2017-08,4193,645832.36,4.3115,0.0332,11.1471
2017-09,4150,701077.49,4.2675,0.052,11.851
2017-10,4478,751117.01,4.2052,0.0529,11.8567
2017-11,7289,1153364.2,3.9889,0.1431,15.1611
2017-12,5513,843078.29,4.0895,0.0838,15.3949
2018-01,7069,1077887.46,4.1087,0.0656,14.0806
2018-02,6555,966168.41,3.8817,0.1599,16.9451
2018-03,7003,1120598.24,3.8133,0.2136,16.3014
2018-04,6798,1132878.93,4.2062,0.0531,11.4992
2018-05,6749,1128774.52,4.2362,0.0824,11.419
2018-06,6099,1011978.29,4.307,0.0136,9.2392
2018-07,6159,1027807.28,4.3181,0.0448,8.9586
2018-08,6351,985491.64,4.3103,0.1039,7.7328
