product_category_name_english,orders,items,revenue,freight,avg_review,low_review_rate,delay_rate
health_beauty,8601,9402,1224678.58,177873.86,4.1897,0.1245,0.0886
watches_gifts,5454,5815,1159219.92,97415.94,4.0717,0.1481,0.0813
bed_bath_table,9177,10831,1013590.72,199576.09,3.924,0.1808,0.0824
sports_leisure,7486,8378,948960.45,162312.05,4.1655,0.1302,0.0734
computers_accessories,6499,7608,884760.96,143343.51,3.9865,0.17,0.0765
furniture_decor,6260,8080,705997.44,166691.25,3.9538,0.1797,0.0833
housewares,5709,6756,611635.68,142011.11,4.1079,0.1418,0.0638
cool_stuff,3531,3689,603221.05,80734.67,4.1949,0.1185,0.0661
auto,3792,4099,571453.35,89696.3,4.116,0.1383,0.0825
garden_tools,3428,4240,467301.19,96063.43,4.0843,0.1493,0.0788
toys,3774,3999,466649.15,75248.91,4.2089,0.1215,0.072
baby,2787,2959,397301.11,65787.41,4.0782,0.1494,0.0862
perfumery,3076,3329,388627.77,52836.83,4.2197,0.1307,0.073
telephony,4069,4404,307797.66,68968.95,3.9943,0.1553,0.0829
office_furniture,1244,1654,265269.64,66353.83,3.5133,0.2545,0.0883
stationery,2251,2451,222632.06,45488.98,4.2458,0.1159,0.08
pet_shop,1680,1915,210727.05,38696.44,4.2167,0.1206,0.0606
computers,174,196,209919.14,9355.48,4.2194,0.1173,0.0561
musical_instruments,605,645,181668.42,17725.31,4.2217,0.1194,0.0868
small_appliances,604,653,181278.82,15261.65,4.2251,0.1225,0.0582
